Age,Height,Weight,Team,Year,City,Event,Medal
21.0,173.0,58.0,Bulgaria,1988,Seoul,Tennis Women's Singles,Bronze
25.0,173.0,58.0,Switzerland,1992,Barcelona,Tennis Women's Singles,---
22.0,179.0,66.0,Hungary,2000,Sydney,Tennis Women's Singles,---
26.0,179.0,66.0,Hungary,2004,Athina,Tennis Women's Singles,---
24.0,176.0,70.0,Unified Team,1992,Barcelona,Tennis Women's Singles,---
20.0,178.0,64.0,Hungary,2000,Sydney,Tennis Women's Singles,---
20.0,170.0,59.0,Spain,1992,Barcelona,Tennis Women's Singles,---
24.0,170.0,59.0,Spain,1996,Atlanta,Tennis Women's Singles,---
28.0,170.0,59.0,Spain,2000,Sydney,Tennis Women's Singles,---
32.0,170.0,59.0,Spain,2004,Athina,Tennis Women's Singles,---
25.0,176.0,68.0,Spain,2008,Beijing,Tennis Women's Singles,---
29.0,176.0,68.0,Spain,2012,London,Tennis Women's Singles,---
24.0,175.0,62.0,Slovenia,2004,Athina,Tennis Women's Singles,---
21.0,175.0,69.0,France,2000,Sydney,Tennis Women's Singles,---
25.0,175.0,69.0,France,2004,Athina,Tennis Women's Singles,Silver
20.0,170.0,58.0,United States,2012,London,Tennis Women's Singles,---
20.0,174.0,61.0,Australia,1992,Barcelona,Tennis Women's Singles,---
24.0,174.0,61.0,Australia,1996,Atlanta,Tennis Women's Singles,---
22.0,169.0,59.0,Spain,2004,Athina,Tennis Women's Singles,---
26.0,169.0,59.0,Spain,2008,Beijing,Tennis Women's Singles,---
29.0,169.0,59.0,Spain,2012,London,Tennis Women's Singles,---
20.0,164.0,54.0,Soviet Union,1988,Seoul,Tennis Women's Singles,---
24.0,164.0,54.0,Unified Team,1992,Barcelona,Tennis Women's Singles,---
25.0,165.0,55.0,Australia,1988,Seoul,Tennis Women's Singles,---
19.0,170.0,55.0,Brazil,1988,Seoul,Tennis Women's Singles,---
21.0,173.0,57.0,India,2008,Beijing,Tennis Women's Singles,---
24.0,175.0,60.0,Romania,2016,Rio de Janeiro,Tennis Women's Singles,---
23.0,184.0,60.0,France,2016,Rio de Janeiro,Tennis Women's Singles,---
19.0,182.0,78.0,Australia,2000,Sydney,Tennis Women's Singles,---
23.0,182.0,78.0,Australia,2004,Athina,Tennis Women's Singles,Bronze
27.0,182.0,78.0,Australia,2008,Beijing,Tennis Women's Singles,---
24.0,167.0,57.0,Japan,2004,Athina,Tennis Women's Singles,---
18.0,165.0,56.0,Japan,2008,Beijing,Tennis Women's Singles,---
22.0,182.0,73.0,Spain,2016,Rio de Janeiro,Tennis Women's Singles,---
17.0,167.0,59.0,Zimbabwe,1988,Seoul,Tennis Women's Singles,---
25.0,179.0,68.0,Netherlands,1992,Barcelona,Tennis Women's Singles,---
19.0,176.0,59.0,Russia,2000,Sydney,Tennis Women's Singles,---
23.0,176.0,59.0,Russia,2004,Athina,Tennis Women's Singles,---
